IS1,IS2,TS2,FS2,IS3,TS3,FS3,IS4,TS4,FS4,IS5,TS5,FS5,IS_5,TS_5,FS_5,TS6,FS6,TS_6,FS_6,FS7,IS8,FS8
3536.693849,3495.936444,3458.208729,3452.014048,3462.03054,3443.192971,3464.432358,3453.940918,1806.96151,1232.932005,666.938512,536.965189,1404.770556,3436.105643,3417.27922,3347.488267,2091.389445,2225.071881,1576.559854,1977.501536,2427.707745,1167.656404,4312.494468
3531.146706,3491.976916,3363.339952,3363.167591,3377.933046,1215.850313,1169.361972,677.122481,584.609966,983.979316,625.622318,480.81448,340.489023,704.161957,1076.184904,1191.954899,263.613934,395.974545,1158.356778,1158.109974,258.876189,1152.312841,260.036035
3410.390164,3365.473959,1736.662845,1483.883951,1485.668598,842.951053,878.934487,658.535188,524.434755,712.756189,590.059588,381.180213,335.412207,683.949809,694.051752,1006.590489,262.615527,336.487673,428.956903,945.637042,258.706531,915.270389,259.875413
1622.879438,1590.944144,1488.772523,1155.347504,635.735727,631.269401,789.890669,598.090875,489.468751,633.225736,575.419417,295.157713,277.845211,634.154192,539.198513,609.005119,258.955157,332.874707,404.656555,833.220195,257.36377,873.734164,258.255095
1620.119331,1589.224873,949.009182,872.845264,573.254489,567.644435,670.228443,447.387529,270.191415,572.58032,542.913938,276.310803,268.833102,594.967931,470.42398,519.998346,257.785342,262.951109,269.828073,312.846262,252.608029,845.683736,253.185017
999.587274,1113.912701,815.656122,801.780565,544.10932,414.97491,645.747196,442.723419,266.673436,508.837899,493.648429,269.241097,262.682509,582.799256,372.159339,439.500785,253.459159,261.953133,266.374029,268.043642,252.413771,825.025412,252.856666
258.712412,536.824861,572.193698,642.289939,496.735882,389.174051,596.58881,265.876162,260.353524,267.54042,271.814035,263.623031,258.884271,491.385695,307.109573,325.779064,251.684005,259.575629,265.146601,263.63949,250.875696,263.136271,251.115802
258.345295,533.217861,455.318506,576.551339,357.690447,350.480112,454.369805,261.010159,257.553711,265.279784,271.00266,262.797848,257.698904,465.478129,283.222451,315.109942,248.726741,257.161648,262.18099,258.895733,243.460196,262.121688,244.780426
256.673342,331.604996,279.38223,544.491991,262.415561,264.543538,435.943739,258.025492,256.214513,259.99367,269.60169,261.106225,251.825991,416.147839,270.407715,273.129599,246.615908,253.994397,259.419414,256.815613,243.16562,257.222676,244.508953
252.617406,260.193507,264.674976,496.766747,261.168608,260.977054,266.296171,256.987663,252.391322,258.562293,263.261986,259.184567,250.539608,270.353931,266.882919,269.589839,244.157168,249.541663,255.732732,253.190625,237.686553,256.690938,239.733399
252.478233,259.144806,259.647794,357.732856,256.963885,257.983311,260.016785,252.063201,251.579494,256.098622,261.466665,253.417306,249.214513,267.157614,264.327945,263.192332,242.090394,249.250399,254.064294,251.48079,236.924387,252.949499,237.217309
250.476131,258.870999,257.454104,262.9052,256.12602,257.365031,257.85271,249.23215,249.082291,254.2488,257.965053,250.930588,246.048864,264.610703,262.082391,260.687447,240.574608,244.246761,249.769642,248.733811,235.062951,248.552529,235.991882
243.308375,254.392011,255.72493,261.189361,254.034764,252.45379,254.907998,246.90838,246.256032,252.266024,257.110007,246.90784,242.919599,259.845696,259.995209,258.373639,238.891681,242.219672,247.205217,246.719973,234.90859,247.698866,235.742726
243.00525,252.131839,253.455097,257.514565,252.862065,251.480983,251.443869,245.996518,244.03596,250.547145,253.597775,245.676842,239.472651,256.156571,255.039741,254.728054,236.562532,240.999498,245.940106,243.094386,232.435568,244.943562,233.926445
238.087723,247.56181,250.057575,255.513841,246.266234,249.696472,250.914484,244.480434,241.643204,248.386523,252.719367,240.260033,237.82285,254.564822,247.923501,251.581775,234.833953,239.799005,242.427833,241.895533,231.487656,242.9696,231.146083
236.832419,246.63495,248.42075,254.257691,245.795571,245.058927,248.573773,241.062242,239.678742,246.844315,248.464122,239.296068,236.002431,254.170864,246.149751,251.427478,230.567185,238.613681,240.508268,237.7256,231.253846,240.674854,230.691609
234.689752,241.911773,246.032963,252.290225,243.140585,243.402927,246.835152,238.653529,237.942522,243.949903,246.453257,236.389483,232.934619,251.677427,243.60691,244.659015,227.417656,235.807267,240.109657,237.456216,227.401975,238.814535,228.087995
