IS1,IS2,TS2,FS2,IS3,TS3,FS3,IS4,TS4,FS4,IS5,TS5,FS5,IS_5,TS_5,FS_5,TS6,FS6,TS_6,FS_6,FS7,IS8,FS8
3534.471429,3499.865751,3471.332471,3470.802039,3465.793704,3434.583644,3426.71059,3435.878731,1835.518558,1169.454643,674.739019,567.395032,1635.781897,3430.611118,3445.463523,3342.138085,1792.096344,2199.392781,1652.87263,1972.942534,2430.268729,1184.591111,4318.554941
3529.931906,3489.00086,3386.595069,3386.218923,3380.358947,1217.791652,1171.199207,656.982925,609.822256,916.983004,654.239036,558.332286,390.277094,702.588864,984.521147,1227.840814,374.712082,372.260149,1130.151096,1220.658195,261.163962,1154.435621,260.920842
3408.747094,3366.430881,1504.269729,1505.715696,1499.618653,840.008412,854.201173,641.228459,501.672852,881.998696,584.360273,419.014806,270.089307,668.261655,717.369674,1153.125639,268.693144,334.984158,456.949922,960.544524,260.984033,946.566838,260.759866
1621.665769,1589.816081,1356.719903,1177.596406,651.560672,628.439957,833.580549,592.249718,481.958718,642.199461,560.88936,345.084403,265.689185,647.517357,543.814207,624.573863,266.519703,334.215701,396.590775,783.596543,257.088409,904.800459,256.470466
1620.794102,1584.408838,1177.243051,931.75389,608.204594,564.5754,681.358914,464.755464,267.429315,560.337346,463.48407,319.26305,262.976114,596.562771,498.650153,574.074172,260.577698,264.33508,299.576512,290.674038,255.662901,842.42519,255.885974
996.960726,1115.360821,665.04631,835.773969,556.9781,425.085119,671.590171,452.071943,263.39255,516.023074,450.841624,289.343007,259.114779,588.708596,387.256454,415.460423,259.378693,264.247443,264.725555,266.377723,255.624531,801.530838,255.325443
261.951366,536.709483,614.477083,664.3693,498.548085,397.498323,607.899816,265.713086,260.783622,267.745343,266.746631,265.580485,257.600302,487.540962,345.196685,292.126826,257.981437,260.414797,264.240288,265.076828,254.592663,267.845282,253.34424
260.910481,531.776529,557.301129,619.618361,364.258733,346.021054,467.777263,263.036578,256.759943,265.886523,263.861192,262.651884,257.505716,456.274883,295.836239,279.721157,256.708441,257.79109,258.530465,259.906384,251.457814,262.801264,251.057909
256.851427,325.887647,504.29275,562.504043,267.409279,266.102511,458.270958,259.153646,255.288652,261.174541,258.44255,257.971388,255.625888,432.125156,286.570483,271.444347,254.985263,256.375899,256.645015,258.629017,251.362592,257.914135,250.990103
255.184255,263.196249,377.941544,503.289946,264.423758,263.835392,266.87256,256.89162,254.629855,255.397629,257.422623,256.350973,254.109987,270.402366,266.34023,264.026445,252.16312,255.020387,255.507861,255.434269,250.058198,256.92849,249.027051
254.861165,261.810037,268.648905,374.17285,261.689251,259.268831,264.733471,256.005227,251.792883,254.107938,255.351209,254.511289,252.629953,261.480302,263.232289,260.247129,251.634981,251.878773,254.037031,255.092548,242.615494,255.368324,242.512255
254.248125,260.320007,264.89506,269.159302,258.839289,258.057174,260.330546,253.287434,249.210647,252.69749,253.119314,251.743494,250.793512,260.05522,261.048667,257.200398,247.233075,250.703874,253.338135,254.813744,242.356456,254.544714,242.002723
251.736367,259.049751,263.512623,265.511257,257.998218,255.972896,255.076868,251.374041,246.482687,251.7829,249.57921,250.903158,249.614378,259.648806,258.910972,256.443544,245.992519,249.491024,251.721565,252.699069,234.550159,253.338739,235.071717
251.071856,257.014989,259.863158,264.024932,255.863449,255.099986,254.337657,247.809081,243.298115,250.022841,248.862035,248.198735,243.43693,254.688359,257.266459,254.840977,241.772197,248.339756,250.28755,251.541151,234.493723,250.359796,234.661202
247.501514,254.906532,258.265142,259.890127,252.417188,253.276487,252.496794,246.928843,241.845602,247.153629,246.710768,247.191554,242.336578,253.831248,255.738366,252.351769,240.462301,241.863883,248.491993,246.736916,232.738012,249.761419,231.867604
242.963756,251.657827,254.050158,258.784961,250.939127,250.542731,252.221962,244.859856,240.252636,245.211235,244.212139,245.471129,238.156779,251.413283,252.049901,248.716771,239.187757,238.311349,245.972523,244.439922,230.12331,248.271046,230.610797
241.571827,251.001874,252.546853,254.470445,249.633426,250.28051,250.366579,241.375068,238.953792,241.53959,240.982861,243.45798,234.985987,250.729612,250.486505,247.780403,233.605857,237.08731,240.316106,242.388261,230.01473,243.761856,230.185618
235.688923,249.853317,251.168942,252.025431,244.24579,245.06609,248.63898,239.97619,236.984254,239.541336,238.800055,238.491234,233.18444,247.137055,249.72786,244.352353,230.697767,234.523796,239.985208,241.101956,228.22225,242.462547,228.928782
234.611459,248.071755,249.534824,250.611249,241.796122,243.381798,246.59176,238.455502,232.348886,238.838281,236.623152,238.007286,230.361,243.78966,246.296234,242.418247,227.198594,232.843858,236.081557,238.322404,221.720626,239.55733,221.17151
231.271429,241.053623,246.644919,249.977364,240.874889,242.273359,242.888442,235.695808,229.80974,237.032099,235.739413,236.230489,226.457579,242.85288,243.34649,240.826576,225.903024,230.451912,233.244763,235.3092,221.189079,237.072925,220.599083
230.524377,240.1612,243.769794,246.608615,237.943986,239.799647,241.245906,234.561501,226.957122,233.311008,229.539668,226.58927,226.268124,240.194822,240.349637,238.896616,223.221467,228.741505,229.621962,232.112598,203.284508,235.502171,203.446393
229.350065,236.521134,241.639542,244.829298,235.33435,236.76083,238.9226,229.320769,225.674356,227.832027,227.03055,224.695709,221.960471,238.851259,236.631669,235.071168,215.439671,220.377271,229.29107,231.805682,203.231174,234.499702,203.147372
229.056833,233.231715,238.644537,242.284881,233.129748,234.773302,238.324105,224.873063,221.891357,226.828687,226.183237,224.474893,213.837865,233.039395,235.435156,234.307053,209.695787,217.538415,223.666057,228.402351,202.176265,230.798863,201.770238
221.6475,232.145538,236.565987,237.885623,229.071671,232.738679,237.080452,221.716663,216.081773,220.023567,224.375297,221.261418,207.054591,230.734071,230.833888,230.507301,208.444893,205.158072,222.489845,223.855184,200.221955,229.136354,200.55074
220.329084,230.548308,234.906861,236.533809,223.535212,226.372852,232.635427,219.046698,212.629514,218.576892,221.596332,218.537301,205.392907,227.280109,227.90025,227.688961,205.724346,203.829129,212.013534,217.795859,194.41382,224.002905,193.872084
203.56532,228.833005,231.089416,235.464423,220.722202,223.502635,227.988187,211.388259,208.956325,215.57536,215.501285,215.968284,203.244514,223.728958,226.145681,225.227237,200.226117,201.739968,208.449148,212.237758,194.318742,209.58807,193.336825
202.246623,220.120011,227.028691,232.008601,216.103141,219.038836,224.717413,205.999575,205.240623,210.887218,214.299032,210.829392,201.39434,223.127326,220.721939,213.358291,198.577801,196.34018,203.57763,207.425024,187.912883,208.188353,188.148633
201.991962,218.530219,222.180702,227.262112,211.242786,211.664946,220.72018,204.391421,204.44814,209.000337,208.621519,207.626907,198.085413,218.823989,219.80972,207.395412,193.770173,195.392756,203.515116,203.895889,187.848521,206.286267,187.978032
200.991065,203.36429,218.820779,222.81483,205.18742,208.017644,212.987312,201.877167,200.007411,206.83766,206.334559,205.10333,197.585632,217.681307,215.375727,206.958058,192.46129,194.776818,200.464007,202.032831,179.481262,204.224715,179.526489
194.261713,201.893997,213.543162,218.765613,203.329249,205.97695,207.121291,200.077826,198.821472,201.678299,204.520301,202.721376,192.891583,211.322981,212.671922,202.099861,186.385491,192.204198,197.751684,199.158447,179.388826,198.804424,179.46145
193.894319,201.369838,207.518586,212.750205,197.759388,203.976397,204.744288,196.933329,195.131572,199.957621,203.307491,201.956428,190.613002,209.127531,206.11571,200.559235,185.19148,189.133941,196.694685,198.308577,179.210887,196.553557,178.629218
189.245803,195.57454,202.643726,206.499941,194.757192,200.791341,203.335509,191.993669,187.964263,196.682526,198.190199,197.441308,188.800346,205.741211,204.01827,198.529575,184.791377,182.420091,191.767475,197.178973,177.495816,195.004714,177.256447
188.88623,193.238358,199.023129,203.354988,193.462555,198.575166,201.990968,190.345713,187.279789,194.608247,192.834474,194.278959,187.218292,205.087448,203.241684,196.665542,180.216814,180.863892,186.117216,195.338643,177.266678,192.519282,176.974453
179.793491,190.84006,194.408471,202.481388,192.234737,192.839135,196.277177,185.368915,183.926134,190.546765,189.129085,187.847459,181.09297,201.233628,199.660554,193.157903,179.035273,180.432918,184.657725,189.745954,177.232091,185.565228,176.411007
178.871881,189.163189,193.150325,196.795699,185.741321,191.145651,192.746922,182.720408,181.817833,185.477498,186.486178,187.209658,179.09157,199.332244,195.738804,188.714489,176.933756,178.341571,181.862603,186.881036,177.095049,183.876836,175.847431
178.32826,186.645758,190.642441,193.946884,183.199308,186.202356,189.236801,180.945971,180.324087,183.936031,182.102248,183.993495,178.62476,193.035978,191.987258,187.476253,171.741308,176.921038,181.387058,182.149569,169.296951,182.17302,171.027155
178.040692,182.072808,186.7283,190.526619,181.022743,183.671845,187.225861,179.061275,175.704727,181.584819,178.362312,177.491995,174.084789,190.571407,187.396275,184.030982,169.690913,173.943146,177.517735,181.544081,169.186045,181.350443,169.190866
177.528365,180.03391,185.479898,186.529865,180.197656,181.912211,183.205974,177.429969,173.055395,179.457705,176.066529,173.479186,170.574902,185.935853,186.42977,180.580698,168.568979,172.147884,177.368481,180.085585,160.517404,180.045525,168.200305
177.429307,179.595564,183.150968,185.317269,177.696818,181.307706,182.504594,176.394644,168.565586,174.328617,168.883274,170.397722,169.556356,181.640723,184.661122,178.187465,165.476829,168.871433,172.626745,178.661015,146.023152,178.083778,159.505918
175.178378,175.921518,181.825723,183.76464,175.070925,177.515992,180.269278,171.084002,167.164356,170.467632,167.052365,170.000888,164.284151,178.49626,177.716325,175.798476,157.064207,168.686004,168.731347,176.900724,145.768923,176.900472,145.802016
168.75141,173.988619,178.187183,183.363999,172.519387,175.849452,178.968111,169.853442,162.631742,166.038319,164.479732,163.99312,158.200635,174.739905,174.618082,173.616119,150.596011,161.019816,166.524217,171.631634,141.635089,172.196507,145.759946
168.173,173.439952,174.159214,179.070214,170.674543,172.075399,175.874627,166.011741,157.037136,165.236679,157.501637,161.526796,153.524248,171.226748,170.852859,172.189777,147.740734,147.138467,159.121001,168.141291,141.594845,169.379236,141.862569
160.485046,172.468466,173.782701,175.03035,168.50627,170.536104,172.066696,157.719767,150.281556,155.912804,154.56869,155.349924,146.851471,168.892464,170.669124,167.21555,146.401015,145.898381,146.255236,166.256899,141.106574,160.888618,141.66844
146.016624,169.885986,171.392859,173.707233,165.5256,166.325282,167.927938,146.421716,146.257435,148.70373,150.011519,146.202299,144.061596,164.539226,162.141375,164.36025,142.80095,143.546714,145.078333,156.90255,140.810831,150.252559,140.632588
144.70256,169.106633,167.787772,171.961339,158.812512,160.777465,166.218199,144.896434,143.512462,147.003568,145.086832,144.402999,142.235975,160.439303,161.574377,159.54333,141.940366,143.223862,143.504419,149.253029,137.748568,147.959458,140.154342
142.185738,163.035239,166.612865,170.079799,154.386009,152.007785,156.972203,142.077867,142.496129,144.970918,144.028692,143.093223,139.516431,154.457915,156.770032,146.761259,139.092743,140.567069,140.098626,146.54354,137.558702,145.404265,136.717137
141.450695,152.059245,157.17661,167.343153,146.856636,145.808899,145.977373,140.839724,139.600471,142.371567,137.964232,139.345763,138.591012,150.574195,145.795355,145.336589,136.770958,139.606773,139.230321,145.009648,136.07428,143.446059,135.848561
141.186919,149.871947,154.961518,158.69579,142.301068,143.232337,145.544551,139.402613,138.410298,140.724206,135.443547,138.00061,136.998753,144.458652,144.136047,142.071368,133.877004,137.793101,138.286292,142.874601,135.749041,142.400291,134.778576
140.780975,147.497409,146.223445,156.020012,140.690091,141.513797,143.449152,137.976819,137.138803,137.975803,133.525052,135.002979,134.13611,140.930092,143.679425,141.033206,133.832411,137.111546,136.733953,141.856514,123.876915,141.496573,134.31489
137.661258,144.150765,142.361286,147.045941,138.682282,138.888452,141.33807,136.477559,134.694229,137.344051,131.852719,133.848334,127.772466,137.867646,138.271949,139.298701,129.155941,136.215489,134.996135,138.580112,123.807628,138.19348,122.850661
137.38187,140.840624,140.583895,143.018496,138.151408,138.69842,140.6993,133.756456,127.880088,132.900874,129.967744,127.695574,127.407496,136.755365,137.0743,138.280226,124.012744,127.107966,130.095086,136.370844,116.630831,137.120821,122.373298
