IS1,IS2,TS2,FS2,IS3,TS3,FS3,IS4,TS4,FS4,IS5,TS5,FS5,IS_5,TS_5,FS_5,TS6,FS6,TS_6,FS_6,FS7,IS8,FS8
3524.023543,3496.664832,3449.358978,3467.714628,3461.379191,3433.310691,3419.746851,3401.497749,1781.656437,1178.843576,641.66254,583.246439,1423.600905,3414.336206,3333.39229,3454.907149,2184.797228,2205.232253,1410.805452,2198.518978,2430.074824,1186.178127,4319.36832
3521.050302,3489.259564,3356.144378,3387.695939,3380.126871,1245.598494,1196.78938,671.808398,564.92605,948.92779,631.840315,560.883538,364.532982,715.655957,1205.680173,963.039027,272.030472,383.307126,1333.583265,1162.372749,267.505318,1153.716911,269.353117
3401.130726,3366.527858,1758.368771,1517.008183,1511.190573,860.893302,959.184507,667.721558,513.467185,756.121275,582.536997,408.861707,348.358619,688.061569,1000.082746,686.308211,265.923994,332.673293,843.851327,839.322393,259.470426,973.000848,269.345181
1624.826994,1588.916,1504.67723,1168.663757,635.829003,623.52699,720.295227,543.296072,494.161127,594.517604,560.210572,357.551211,326.959591,629.267105,656.313655,545.239917,262.424738,332.025525,442.84173,828.31181,259.3963,957.166939,267.882989
1622.415111,1585.278586,882.764593,934.44455,608.31835,563.266632,697.481253,451.933388,293.140913,564.091778,502.197047,316.230976,313.784199,590.363371,437.902178,510.704861,261.332639,276.652291,288.982492,379.625648,259.277552,839.282788,265.059525
1013.099733,1113.760177,852.163983,848.048667,530.574072,489.790767,675.117649,442.537326,273.050371,531.095391,494.135733,273.820843,277.938947,561.827582,367.209883,387.532181,259.362406,269.46669,283.269359,332.936647,259.233331,834.177844,264.777345
267.884785,530.268731,594.674188,647.097907,493.764172,398.702968,584.083916,269.516933,259.991036,273.56482,476.525085,272.629395,273.473965,497.491818,324.45398,361.955058,257.891076,269.158235,271.731481,331.435722,259.224294,269.081802,264.543585
263.392825,527.522612,453.311611,622.181139,353.528848,369.238681,469.469626,259.784749,258.749014,262.587456,309.854346,270.419949,270.996735,492.029207,278.475802,349.286257,254.245061,268.865399,269.656079,274.170396,259.203461,268.150314,264.425165
263.382672,329.961789,289.2162,538.370822,278.653999,284.566618,440.899176,255.847315,256.066237,260.757156,286.239017,267.288262,265.34143,442.054621,274.986609,295.733357,250.792295,267.553251,267.187007,270.037869,256.067897,267.731859,264.278645
261.832644,296.734018,279.838578,496.087588,271.182986,271.014352,304.338348,255.677305,252.045595,257.282263,278.500012,266.600762,264.951043,280.957014,269.226863,277.052094,246.137617,265.609989,266.807897,267.364582,256.046822,267.120301,264.08276
261.765951,273.145802,273.727127,355.683614,267.761898,267.834123,290.206072,250.77848,251.450959,253.551149,274.665551,266.152877,264.340272,276.013107,268.718752,273.466648,245.992356,264.612833,266.155413,266.446175,249.314557,264.39314,260.478494
261.683609,269.256018,263.448102,279.577561,267.548716,264.44934,276.790909,250.702468,251.017594,252.721863,271.295279,263.149205,262.134829,270.179188,266.638449,270.118334,242.944822,264.564425,263.412779,265.555018,249.303655,263.800806,260.389018
261.589134,268.766015,263.285637,271.456579,264.857947,263.016611,274.8126,249.255061,243.196929,247.999621,267.836083,262.78907,259.474914,268.026142,263.838061,267.155846,234.001543,259.254598,263.12013,263.222121,239.011537,260.928042,251.444077
261.515586,267.714044,262.212231,266.926821,264.552146,262.692694,267.860203,241.50711,242.570194,246.276065,266.998976,258.002674,258.325637,266.712112,263.399756,265.309309,233.61357,259.007527,262.163497,262.373591,238.97962,260.027833,251.372579
261.46287,266.005971,260.424032,265.701259,264.157861,260.517817,265.7566,241.301888,241.152307,243.937599,261.503865,254.683025,256.744911,265.472821,263.103864,264.063411,232.762377,256.953472,257.677985,261.408472,238.735697,259.508584,251.306257
255.836274,264.869646,258.698016,264.761424,259.814323,258.016509,262.548215,239.119695,237.43447,242.375711,259.87491,252.146945,255.056397,262.755709,259.991222,262.240769,231.251356,255.27895,256.687549,259.124721,238.710292,258.944889,251.055128
255.807445,262.882703,256.574618,263.294534,259.18176,255.718159,261.638469,235.914335,234.214515,235.837419,256.970228,251.443543,252.298702,262.356679,256.866673,261.036211,231.087819,253.006531,253.714158,257.873936,238.689377,255.773236,250.988288
245.998274,261.237616,255.658718,261.97696,256.065758,254.144164,261.041783,232.643726,233.335592,233.548657,253.537674,249.850556,250.701831,261.121306,255.771145,255.554946,229.586743,252.473631,252.848589,255.722263,238.631065,251.20816,250.579001
