IS1,IS2,TS2,FS2,IS3,TS3,FS3,IS4,TS4,FS4,IS5,TS5,FS5,IS_5,TS_5,FS_5,TS6,FS6,TS_6,FS_6,FS7,IS8,FS8
3530.445667,3496.076514,3453.313286,3463.88535,3466.28186,3440.053095,3423.605248,3424.879348,1869.386045,1164.49024,649.591958,606.699175,1481.796472,3421.359177,3445.631501,3327.196125,1987.654868,2255.230013,1507.958506,1987.654868,2426.743065,1168.107362,4318.398497
3530.10307,3487.820867,3354.42298,3385.82516,3380.040449,1213.787683,1208.30772,649.70778,589.742024,928.480562,639.39939,575.089202,330.420588,718.511627,851.205694,1209.142781,1198.495928,393.018995,1268.300619,1198.495928,256.707463,1153.710736,256.612716
3405.87742,3367.904869,1843.729785,1516.586293,1494.444871,843.627889,976.768423,646.862954,531.916674,915.979522,611.857082,437.345072,303.311072,675.694539,592.582168,1028.852992,975.067387,300.567921,586.468498,975.067387,255.221759,983.039885,255.224279
1622.549382,1588.386716,1485.685287,1128.430165,641.839286,611.133757,786.264277,597.848969,495.620155,623.595544,599.030631,415.164862,284.80086,641.403816,578.122806,632.764543,859.831894,300.200478,412.493017,859.831894,255.087537,953.472995,255.066658
1619.708452,1584.187054,868.42668,945.430016,609.698352,553.736683,679.645377,484.834808,265.293804,576.804173,512.410295,339.208684,263.792014,605.731687,536.485581,423.375193,319.234036,263.395493,325.481665,319.234036,255.025315,866.99347,254.789502
995.747719,1115.696839,843.777936,878.725984,555.40109,461.635975,654.749094,483.630746,257.320974,564.249687,493.959627,291.76507,261.524023,597.49583,475.296802,374.279533,264.145668,261.872791,264.518487,264.145668,255.009987,864.510038,254.6466
255.745483,556.535113,587.548274,649.034559,509.655368,408.758907,597.208958,263.282848,256.029525,267.341253,263.560508,264.447945,259.083709,527.496209,404.850774,348.937919,261.737999,261.44163,262.506789,261.737999,254.953214,261.814335,254.42386
255.702453,554.903278,463.143636,613.617818,375.122676,354.484477,505.341886,258.082211,255.482652,258.732742,260.021514,260.673123,257.92071,515.393584,295.970953,269.071357,259.014957,257.917126,260.342152,259.014957,254.909778,259.177478,254.259567
255.695329,363.322278,298.877388,537.224467,267.806367,263.142284,476.887939,255.762677,252.90532,256.057726,258.401679,256.817703,256.213218,472.310166,267.257109,264.925274,257.87702,254.577997,257.716447,257.87702,246.071937,258.518261,245.576812
255.510684,262.757042,271.355043,492.053141,264.592996,259.648218,262.766763,255.288222,251.8227,255.075229,256.481182,255.52869,255.02856,263.626233,262.123943,262.817881,255.747433,254.134009,255.004736,255.747433,246.024667,257.21753,245.103682
255.390693,261.767083,268.538807,359.18514,258.015353,258.760614,261.094754,253.027664,247.84275,252.341323,254.666977,254.819503,253.901466,261.131364,258.554016,261.44769,253.802844,252.104276,253.739725,253.802844,240.618173,255.702543,240.086068
255.363113,261.464375,258.589342,273.648504,256.400434,257.583618,256.964889,252.548305,247.49719,251.984761,253.379664,254.439587,253.075063,259.391133,255.912843,256.250357,251.27443,249.963631,251.589433,251.27443,240.577411,253.706107,240.008787
254.760117,257.336916,257.217116,265.037567,255.193439,257.010133,256.454881,248.001291,247.035282,249.074142,250.454537,250.720336,249.52391,257.730278,253.579792,254.775344,249.226803,246.737497,250.507199,249.226803,237.237056,250.399843,237.607548
247.163434,254.993102,254.463635,258.429559,253.065961,253.678472,253.971632,247.612083,246.76076,248.674277,248.583013,250.052955,247.789486,254.689175,250.623895,253.734495,247.81468,246.195901,249.298521,247.81468,237.2027,249.163029,237.345954
247.057836,254.774185,253.93719,254.325505,251.828966,251.060891,253.150163,245.464621,246.051691,247.902929,247.314439,247.814592,246.008944,254.33858,250.152852,251.991976,247.026337,245.729636,246.601997,247.026337,237.085521,248.123753,237.326051
242.500618,251.291943,252.780695,253.67713,250.60353,250.385356,250.468946,245.282917,243.548884,246.715765,244.735808,247.102704,243.447781,251.259362,247.85385,251.697183,246.194041,244.815303,245.160453,246.194041,237.074827,246.652956,237.20584
242.469589,249.837745,252.096642,250.457826,248.93063,248.062159,248.571079,245.096028,243.463423,245.475024,244.14829,245.000859,242.655974,249.091909,246.855442,246.758947,244.976425,243.431089,244.538757,244.976425,237.032854,246.318834,237.121152
