Temp Th_NH3 Th_NH2 Th_NH Th_N Th_NN Th_NNH Th_N2 Th_H Th P_N2 P_H2 P_NH3
240 0.9995016509616289 1.0067878624812651e-11 9.778843290166049e-8 2.6959395215684687e-17 6.899264064562699e-70 3.246650904056486e-51 2.1844788663790842e-60 1.955868172116457e-7 0.0004980556530537202 6.409284762855114e-51 5.82755891452939e-14 99999.00049825119
260 0.9921509251030817 9.894965731756121e-11 0.00010206823990357789 5.297712380001382e-11 1.3435886981110157e-54 1.0495910458324391e-39 1.5381317343503245e-44 0.00020409101060265007 0.007542914509703775 1.4564303385851682e-35 2.2863542767202168e-8 99999.00774700589
280 0.8376038959451388 1.7459610404252883e-7 0.0324659768576266 3.057749886482556e-7 2.82429328292335e-44 1.4871324883542766e-31 1.1739631250974727e-33 0.06247310550300161 0.06745643747082974 4.906627596723666e-25 0.001229970066657163 99999.12992908497
300 0.14622572754857627 2.671979868150477e-5 0.48853953273265005 3.05180524816687e-6 1.0064646685239925e-39 9.72085738180426e-28 6.2105708144936886e-30 0.2722510490506963 0.09295882765464965 6.2589147243087274e-21 0.35243194580961 99999.36520910061
320 0.009742455599213764 5.0599752264278926e-5 0.9111920641211899 3.0149308162043784e-5 2.2670847625523563e-36 4.889410186332905e-25 5.41435400734048e-27 0.040559506497451325 0.0384289355063575 3.809035725260679e-17 0.8909828347026523 99999.0789892654
340 0.0006002176082831016 3.841797239249384e-5 0.9835746208298801 0.0002056372137076583 1.4774007221978136e-33 6.685931513378158e-23 1.3039064515365319e-24 0.003547891558782192 0.012030888346893389 7.522468841427363e-14 0.9821283398574794 99999.01558096983
360 6.141902196617743e-5 2.722235547302619e-5 0.9930209322039145 0.0011209028096242533 8.018638830865813e-31 4.954534704144972e-21 1.993807038574611e-22 0.00047820451906341744 0.005290867409708002 6.087720287452387e-11 0.9944767955213143 99999.00577022762
380 9.350671972686003e-6 1.9670087717100137e-5 0.9917492359890315 0.005123888344312281 2.6919525352470945e-28 2.322015181368348e-19 2.111693406313605e-20 9.295235304340213e-5 0.0030034714838840714 2.432750562065131e-8 0.999398500359387 99999.00309736928
400 1.9183791390895644e-6 1.4475662907962684e-5 0.9779401450765197 0.0199847651912239 5.249896849502022e-26 7.27652653467906e-18 1.5543412306647779e-18 2.383062846029756e-5 0.0020347563578264186 5.272938164148263e-6 1.0079284341937271 99999.00204812773
420 6.090719567365631e-7 1.0645172566296236e-5 0.9320458427104851 0.06601285624848158 6.092385956829204e-24 1.5306887342555465e-16 9.471177213168262e-17 9.343407400903782e-6 0.0019210739257148365 0.000638564017187176 1.032981470017423 99999.00065330943
