Temp amm_ads fst_deH sst_deH tst_deH NN NNH N2 N2_H N2_des H2_des Tot
240 0.001 -0.923 0 0.084 0.997 0 0 0.003 0 0.849 1.01
260 0 -0.92 0 0.449 0.998 0 0 0.002 0 0.475 1.00
280 0 -0.744 0 0.482 0.999 0 0 0.001 0 0.262 1.00
300 0 -0.219 0 0.105 1 0 0 0 0 0.113 1.00
320 0 -0.03 0 0.003 1 0 0 0 0 0.032 1.01
340 0 -0.008 0 0 1 0 0 0 0 0.011 1.00
360 0 -0.008 0 0 1 0 0 0 0 0.008 1.00
380 0 -0.003 0 0 1 0 0 0 0 0.003 1.00
400 0.001 -0.001 0 0 1 0 0 0 0 0.002 1.00
420 0 -0.002 0 0 0.998 0 0 0 0 0.001 1.00
440 0 -0.003 0 0 0.995 0 0 0 0 0 0.99
460 0.002 0.002 0 0 0.997 0 0 0 0 0 1.00
480 0 0.007 0 0 0.993 0 0 0 0 0 1.00
500 0 0.015 0 0 0.986 0 0 0 0 0 1.00
520 0 0.031 0 0 0.969 0 0 0 0 0 1.00
540 0 0.059 0 0 0.941 0 0 0 0 0 1.00
560 0 0.106 0 0 0.894 0 0 0 0 0 1.00
580 0 0.174 0 0 0.825 0 0 0 0 0 1.00
600 0 0.268 0 0 0.732 0 0 0 0 0 1.00
620 0 0.38 0 0 0.62 0 0 0 0 0 1.00
640 0 0.498 0 0 0.502 0 0 0 0 0 1.00
660 0 0.61 0 0 0.39 0 0 0 0 0 1.00
680 0 0.706 0 0 0.294 0 0 0 0 0 1.00
700 0 0.783 0 0 0.217 0 0 0 0 0 1.00
720 0 0.841 0 0 0.159 0 0 0 0 0 1.00
740 0 0.884 0 0 0.116 0 0 0 0 0 1.00
760 0 0.915 0 0 0.085 0 0 0 0 0 1.00
780 0 0.937 0 0 0.063 0 0 0 0 0 1.00
800 0 0.953 0 0 0.047 0 0 0 0 0 1.00
840 0 0.974 0 0 0.026 0 0 0 0 0 1.00
860 0 0.98 0 0 0.02 0 0 0 0 0 1.00
880 0 0.984 0 0 0.016 0 0 0 0 0 1.00
900 0 0.988 0 0 0.012 0 0 0 0 0 1.00
