Temp amm_ads fst_deH sst_deH tst_deH NN NNH N2 N2_H N2_des H2_des
240 -0.001 -0.911 0.000 0.001 1.000 0.000 0.000 0.000 0.000 1.000
260 0.000 -0.984 0.000 0.000 1.000 0.000 0.000 0.000 0.000 1.000
280 0.000 -1.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 1.000
300 0.000 -0.997 0.000 0.005 0.992 0.000 0.000 0.000 0.000 0.992
320 0.000 -0.992 0.000 0.002 0.998 0.000 0.000 0.000 0.000 0.990
340 0.001 -0.964 0.000 0.023 0.991 0.000 0.000 0.000 0.000 0.948
360 0.000 -0.888 0.000 0.008 0.996 0.000 0.000 0.000 0.000 0.885
380 0.000 -0.714 0.000 0.012 0.992 0.000 0.000 0.000 0.000 0.710
400 0.000 -0.460 0.000 0.014 0.983 0.000 0.000 0.000 0.000 0.463
420 0.000 -0.220 0.000 0.012 0.962 0.000 0.000 0.000 0.000 0.246
440 0.000 -0.039 0.000 0.009 0.915 0.000 0.000 0.000 0.000 0.115
460 0.000 0.111 0.000 0.006 0.832 0.000 0.000 0.000 0.000 0.051
480 0.000 0.263 0.000 0.004 0.712 0.000 0.000 0.000 0.000 0.022
500 0.000 0.422 0.000 0.002 0.566 0.000 0.000 0.000 0.000 0.009
520 0.000 0.574 0.000 0.001 0.421 0.000 0.000 0.000 0.000 0.004
540 0.000 0.701 0.000 0.001 0.297 0.000 0.000 0.000 0.000 0.001
560 0.000 0.796 0.000 0.000 0.204 0.000 0.000 0.000 0.000 0.001
580 0.000 0.862 0.000 0.000 0.138 0.000 0.000 0.000 0.000 0.000
600 0.000 0.906 0.000 0.000 0.093 0.000 0.000 0.000 0.000 0.000
620 0.000 0.936 0.000 0.000 0.064 0.000 0.000 0.000 0.000 0.000
640 0.000 0.956 0.000 0.000 0.044 0.000 0.000 0.000 0.000 0.000
660 0.000 0.969 0.000 0.000 0.031 0.000 0.000 0.000 0.000 0.000
680 0.000 0.978 0.000 0.000 0.022 0.000 0.000 0.000 0.000 0.000
700 0.000 0.984 0.000 0.000 0.016 0.000 0.000 0.000 0.000 0.000
720 0.000 0.988 0.000 0.000 0.012 0.000 0.000 0.000 0.000 0.000
740 0.000 0.991 0.000 0.000 0.009 0.000 0.000 0.000 0.000 0.000
760 0.000 0.993 0.000 0.000 0.007 0.000 0.000 0.000 0.000 0.000
780 0.000 0.995 0.000 0.000 0.005 0.000 0.000 0.000 0.000 0.000
800 0.000 0.996 0.000 0.000 0.004 0.000 0.000 0.000 0.000 0.000
820 0.000 0.997 0.000 0.000 0.003 0.000 0.000 0.000 0.000 0.000
840 0.000 0.997 0.000 0.000 0.003 0.000 0.000 0.000 0.000 0.000
860 0.000 0.998 0.000 0.000 0.002 0.000 0.000 0.000 0.000 0.000
880 0.000 0.998 0.000 0.000 0.002 0.000 0.000 0.000 0.000 0.000
900 0.000 0.999 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000
