Temp	amm_ads	fst_deH	sst_deH	tst_deH	NN	NNH	N2	N2_H	N2_des	H2_des
240	-0.001	-0.911	0	0.001	1	0	0	0	0	1
260	0	-0.984	0	0.001	1	0	0	0	0	1
280	0	-1	0	0	1	0	0	0	0	1
300	0.001	-1.001	0	0.005	1	0	0	0	0	0.995
320	0.001	-1	0	0.2	0.99	0	0	0	0	0.8
340	0	-1	0	0.304	0.996	0	0	0	0	0.711
360	0	-0.986	0	0.28	0.995	0	0	0	0	0.707
380	0	-0.716	0	0.002	0.999	0	0	0	0	0.715
400	0	-0.469	0	0.002	0.997	0	0	0	0	0.469
420	0	-0.249	0	0.002	0.993	0	0	0	0	0.254
440	0	-0.109	0	0.002	0.983	0	0	0	0	0.124
460	0	-0.022	0	0.001	0.962	0	0	0	0	0.059
480	0	0.05	0	0.001	0.921	0	0	0	0	0.028
500	0	0.133	0	0.001	0.853	0	0	0	0	0.013
520	0	0.24	0	0.001	0.753	0	0	0	0	0.006
540	0	0.37	0	0	0.627	0	0	0	0	0.003
560	0	0.507	0	0	0.491	0	0	0	0	0.001
580	0	0.633	0	0	0.366	0	0	0	0	0.001
600	0	0.737	0	0	0.263	0	0	0	0	0
620	0	0.815	0	0	0.185	0	0	0	0	0
640	0	0.871	0	0	0.129	0	0	0	0	0
660	0	0.909	0	0	0.091	0	0	0	0	0
680	0	0.936	0	0	0.064	0	0	0	0	0
700	0	0.954	0	0	0.046	0	0	0	0	0
720	0	0.967	0	0	0.033	0	0	0	0	0
740	0	0.976	0	0	0.024	0	0	0	0	0
760	0	0.982	0	0	0.018	0	0	0	0	0
780	0	0.986	0	0	0.014	0	0	0	0	0
800	0	0.99	0	0	0.01	0	0	0	0	0
820	0	0.992	0	0	0.008	0	0	0	0	0
840	0	0.994	0	0	0.006	0	0	0	0	0
860	0	0.995	0	0	0.005	0	0	0	0	0
880	0	0.996	0	0	0.004	0	0	0	0	0
900	0	0.997	0	0	0.003	0	0	0	0	0
