Temp amm_ads fst_deH sst_deH tst_deH NN NNH N2 N2_H N2_des H2_des
260.00 0.00 -0.73 0.00 0.00 0.47 0.36 0.00 0.16 0.00 0.74
280.00 0.00 -0.94 0.00 0.00 0.87 0.10 0.00 0.03 0.00 0.94
300.00 0.00 -0.98 0.00 0.00 0.98 0.02 0.00 0.01 0.00 0.99
320.00 0.00 -0.97 0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.97
340.00 0.02 -0.94 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.93
360.00 0.02 -0.79 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.79
380 0 -0.514 0 0 0.995 0 0 0 0 0.518
400.00 0.00 -0.25 0.00 0.00 0.98 0.00 0.00 0.00 0.00 0.26
420.00 0.00 -0.06 0.00 0.00 0.95 0.00 0.00 0.00 0.00 0.11
440.00 0.00 0.09 0.00 0.00 0.87 0.00 0.00 0.00 0.00 0.04
460.00 0.00 0.24 0.00 0.00 0.75 0.00 0.00 0.00 0.00 0.02
480.00 0.00 0.41 0.00 0.00 0.58 0.00 0.00 0.00 0.00 0.01
500.00 0.00 0.59 0.00 0.00 0.41 0.00 0.00 0.00 0.00 0.00
520.00 0.00 0.73 0.00 0.00 0.27 0.00 0.00 0.00 0.00 0.00
540.00 0.00 0.83 0.00 0.00 0.17 0.00 0.00 0.00 0.00 0.00
560.00 0.00 0.90 0.00 0.00 0.10 0.00 0.00 0.00 0.00 0.00
580.00 0.00 0.94 0.00 0.00 0.07 0.00 0.00 0.00 0.00 0.00
600.00 0.00 0.96 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00
620.00 0.00 0.97 0.00 0.00 0.03 0.00 0.00 0.00 0.00 0.00
640.00 0.00 0.98 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00
660.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
680.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
700.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
720.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
740.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
760.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
780.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
800.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
820.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
840.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
860.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
880.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
900.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
