Temp amm_ads fst_deH sst_deH tst_deH NN NNH N2 N2_H N2_des H2_des
240.00 0.00 -0.51 0.00 0.00 0.00 0.99 0.00 0.01 0.00 0.50 0.99
260.00 0.00 -0.50 0.00 0.00 0.00 0.99 0.00 0.01 0.00 0.50
280.00 0.00 -0.50 0.00 0.00 0.01 0.98 0.00 0.01 0.00 0.51
300.00 0.00 -0.55 0.00 0.00 0.10 0.89 0.00 0.01 0.00 0.55
320.00 0.00 -0.68 0.00 0.00 0.39 0.60 0.00 0.01 0.00 0.68
340.00 0.00 -0.82 0.00 0.00 0.76 0.24 0.00 0.00 0.00 0.82
360.00 0.00 -0.77 0.00 0.00 0.90 0.07 0.00 0.00 0.00 0.79
380.00 0.00 -0.63 0.00 0.00 0.97 0.02 0.00 0.00 0.00 0.63
400.00 0.00 -0.37 0.00 0.00 0.99 0.01 0.00 0.00 0.00 0.37
420.00 0.00 -0.16 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.17
440.00 0.00 -0.04 0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.08
460.00 0.00 0.04 0.00 0.00 0.93 0.00 0.00 0.00 0.00 0.03
480.00 0.00 0.12 0.00 0.00 0.86 0.00 0.00 0.00 0.00 0.01
500.00 0.00 0.23 0.00 0.00 0.76 0.00 0.00 0.00 0.00 0.01
520.00 0.00 0.37 0.00 0.00 0.63 0.00 0.00 0.00 0.00 0.00
540.00 0.00 0.51 0.00 0.00 0.49 0.00 0.00 0.00 0.00 0.00
560.00 0.00 0.64 0.00 0.00 0.36 0.00 0.00 0.00 0.00 0.00
580.00 0.00 0.75 0.00 0.00 0.25 0.00 0.00 0.00 0.00 0.00
600.00 0.00 0.83 0.00 0.00 0.17 0.00 0.00 0.00 0.00 0.00
620.00 0.00 0.88 0.00 0.00 0.12 0.00 0.00 0.00 0.00 0.00
640.00 0.00 0.92 0.00 0.00 0.08 0.00 0.00 0.00 0.00 0.00
660.00 0.00 0.94 0.00 0.00 0.06 0.00 0.00 0.00 0.00 0.00
680.00 0.00 0.96 0.00 0.00 0.04 0.00 0.00 0.00 0.00 0.00
700.00 0.00 0.97 0.00 0.00 0.03 0.00 0.00 0.00 0.00 0.00
720.00 0.00 0.98 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00
740.00 0.00 0.99 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00
760.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
780.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
800.00 0.00 0.99 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
820.00 0.00 1.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00
840.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
860.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
880.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
900.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
