Temp	Co	Co2Ni	CoNi2	Ni
260	2.28	2.09	2.04	2.16
280	2.18	1.96	2.15	2.07
300	2.06	1.87	2.08	2.03
320	2.01	1.86	2.05	1.99
340	1.85	1.87	2.00	1.97
360	1.71	1.87	2.01	1.95
380	1.64	1.87	1.98	1.95
400	1.61	1.87	1.89	1.93
420	1.60	1.85	1.82	1.93
440	1.59	1.83	1.76	1.90
460	1.59	1.79	1.69	1.81
480	1.59	1.72	1.56	1.75
500	1.58	1.63	1.41	1.68
520	1.56	1.52	1.27	1.57
540	1.53	1.39	1.15	1.45
560	1.48	1.25	1.08	1.36
580	1.42	1.13	1.07	1.28
600	1.35	1.07	1.05	1.24
620	1.28	1.05	1.05	1.21
640	1.22	1.03	1.06	1.19
660	1.18	1.03	1.06	1.19
680	1.14	1.03	1.06	1.18
700	1.12	1.03	1.06	1.18
720	1.11	1.03	1.06	1.18
740	1.10	1.03	1.06	1.19
760	1.09	1.03	1.07	1.18
780	1.09	1.03	1.07	1.18
800	1.08	1.03	1.06	1.18
820	1.08	1.03	1.06	1.20
840	1.08	1.04	1.08	1.18
860	1.08	1.04	1.08	1.18
880	1.08	1.04	1.08	1.19
900	1.08	1.04	1.08	1.19
900	1.08	1.04	1.08	1.19
