Temp Co Co2Ni CoNi2 Ni
240 0.00 0.00 0.00 0.00
260 0.00 0.00 0.00 0.00
280 0.00 0.00 0.00 0.00
300 0.00 0.00 0.00 0.00
320 0.00 0.00 0.00 0.00
340 0.00 0.00 0.00 0.00
360 0.00 0.00 0.00 0.00
380 0.00 0.00 0.00 0.00
400 0.00 0.00 0.00 0.00
420 0.00 0.01 0.00 0.00
440 0.00 0.03 0.03 0.00
460 0.00 0.18 0.18 0.00
480 0.00 0.82 0.90 0.01
500 0.01 3.21 3.58 0.06
520 0.07 10.22 10.35 0.22
540 0.29 25.43 20.97 0.63
560 1.04 46.45 31.66 1.45
580 3.03 63.64 40.29 2.88
600 7.21 73.81 47.23 5.13
620 13.96 79.73 53.13 8.32
640 22.52 83.56 58.37 12.36
660 31.43 86.31 63.10 16.99
680 39.58 88.41 67.42 21.88
700 46.56 90.07 71.34 26.78
720 52.43 91.43 74.91 31.61
740 57.37 92.54 78.12 36.33
760 61.59 93.46 81.00 40.93
780 65.24 94.24 83.56 45.42
800 68.45 94.88 85.82 49.79
820 71.30 95.43 87.82 54.01
840 73.85 95.89 89.56 58.07
860 76.13 96.29 91.08 61.93
880 78.18 96.62 92.40 65.58
900 80.04 96.91 93.53 69.02
920 81.72 97.15 94.51 72.23
940 83.24 97.36 95.35 75.19
960 84.62 97.55 96.07 77.93
980 85.86 97.70 96.67 80.41
1000 86.98 97.84 97.19 82.68
