Temp N2 H2 NH3
400.0 0.0 0.0 -0.016
420.0 0.0 0.0 0.026
440.0 0.0 0.0 0.082
460.0 0.0 0.0 0.168
480.0 0.0 0.0 0.29
500.0 0.0 0.0 0.435
520.0 0.0 0.0 0.58
540.0 0.0 0.0 0.703
560.0 0.0 0.0 0.796
580.0 0.0 0.0 0.862
600.0 0.0 0.0 0.907
620.0 0.0 0.0 0.936
640.0 0.0 0.0 0.956
660.0 0.0 0.0 0.969
680.0 0.0 0.0 0.978
700.0 0.0 0.0 0.984
720.0 0.0 0.0 0.988
740.0 0.0 0.0 0.991
760.0 0.0 0.0 0.993
780.0 0.0 0.0 0.995
800.0 0.0 0.0 0.996
820.0 0.0 0.0 0.997
840.0 0.0 0.0 0.997
860.0 0.0 0.0 0.998
880.0 0.0 0.0 0.998
