Temp N2 H2 NH3
400.0 0.0 -0.986 0.0
420.0 0.0 -0.96 0.002
440.0 0.0 -0.895 0.009
460.0 0.0 -0.762 0.041
480.0 0.0 -0.546 0.132
500.0 0.0 -0.31 0.301
520.0 0.0 -0.142 0.498
540.0 0.0 -0.058 0.663
560.0 0.0 -0.022 0.779
580.0 0.0 -0.009 0.855
600.0 0.0 -0.004 0.904
620.0 0.0 -0.002 0.935
640.0 0.0 -0.001 0.955
660.0 0.0 -0.0 0.969
680.0 0.0 -0.0 0.978
700.0 0.0 -0.0 0.984
720.0 0.0 -0.0 0.988
740.0 0.0 -0.0 0.991
760.0 0.0 -0.0 0.993
780.0 0.0 -0.0 0.995
800.0 0.0 -0.0 0.996
820.0 0.0 -0.0 0.997
840.0 0.0 -0.0 0.997
860.0 0.0 -0.0 0.998
880.0 0.0 -0.0 0.998
