Temp N2 H2 NH3
400.0 0.0 0.0 0.014
420.0 0.0 0.0 0.056
440.0 0.0 0.0 0.131
460.0 0.0 0.0 0.255
480.0 0.0 0.0 0.42
500.0 0.0 0.0 0.591
520.0 0.0 0.0 0.732
540.0 0.0 0.0 0.832
560.0 0.0 0.0 0.896
580.0 0.0 0.0 0.935
600.0 0.0 0.0 0.959
620.0 0.0 0.0 0.974
640.0 0.0 0.0 0.983
660.0 0.0 0.0 0.988
680.0 0.0 0.0 0.992
700.0 0.0 0.0 0.994
720.0 0.0 0.0 0.996
740.0 0.0 0.0 0.997
760.0 0.0 0.0 0.998
780.0 0.0 0.0 0.998
800.0 0.0 0.0 0.999
820.0 0.0 0.0 0.999
840.0 0.0 0.0 0.999
860.0 0.0 0.0 0.999
880.0 0.0 0.0 1.0
