Temp N2 H2 NH3
400.0 0.0 0.0 0.032
420.0 0.0 0.0 0.01
440.0 0.0 0.0 0.004
460.0 0.0 0.0 0.007
480.0 0.0 0.0 0.016
500.0 0.0 0.0 0.035
520.0 0.0 0.0 0.07
540.0 0.0 0.0 0.129
560.0 0.0 0.0 0.218
580.0 0.0 0.0 0.335
600.0 0.0 0.0 0.467
620.0 0.0 0.0 0.596
640.0 0.0 0.0 0.706
660.0 0.0 0.0 0.792
680.0 0.0 0.0 0.855
700.0 0.0 0.0 0.899
720.0 0.0 0.0 0.929
740.0 0.0 0.0 0.95
760.0 0.0 0.0 0.964
780.0 0.0 0.0 0.974
800.0 0.0 0.0 0.981
820.0 0.0 0.0 0.986
840.0 0.0 0.0 0.989
860.0 0.0 0.0 0.992
880.0 0.0 0.0 0.994
