Temp N2 H2 NH3
400.0 0.0 0.0 -0.021
420.0 0.0 0.0 0.009
440.0 0.0 0.0 0.032
460.0 0.0 0.0 0.071
480.0 0.0 0.0 0.137
500.0 0.0 0.0 0.238
520.0 0.0 0.0 0.368
540.0 0.0 0.0 0.51
560.0 0.0 0.0 0.641
580.0 0.0 0.0 0.747
600.0 0.0 0.0 0.826
620.0 0.0 0.0 0.881
640.0 0.0 0.0 0.918
660.0 0.0 0.0 0.943
680.0 0.0 0.0 0.96
700.0 0.0 0.0 0.972
720.0 0.0 0.0 0.979
740.0 0.0 0.0 0.985
760.0 0.0 0.0 0.989
780.0 0.0 0.0 0.992
800.0 0.0 0.0 0.994
820.0 0.0 0.0 0.995
840.0 0.0 0.0 0.996
860.0 0.0 0.0 0.997
880.0 0.0 0.0 0.998
