Temp Co Co2Ni CoNi2 Ni
400 -0.077 -0.095 -0.023 -0.043
420 -0.02 -0.037 0.007 -0.025
440 -0.002 0.003 0.04 0.002
460 0.003 0.045 0.095 0.022
480 0.002 0.105 0.184 0.047
500 0.005 0.189 0.312 0.08
520 0.01 0.3 0.462 0.155
540 0.02 0.425 0.609 0.247
560 0.036 0.551 0.73 0.361
580 0.063 0.663 0.82 0.483
600 0.104 0.754 0.881 0.6
620 0.162 0.822 0.921 0.7
640 0.239 0.872 0.947 0.78
660 0.331 0.907 0.964 0.84
680 0.431 0.933 0.975 0.884
700 0.532 0.95 0.982 0.915
720 0.626 0.963 0.987 0.938
740 0.707 0.972 0.991 0.954
760 0.773 0.979 0.993 0.965
780 0.826 0.984 0.995 0.974
800 0.866 0.987 0.996 0.98
820 0.897 0.99 0.997 0.984
840 0.921 0.992 0.998 0.988
860 0.939 0.993 0.998 0.99
880 0.952 0.995 0.999 0.992
