Temp Co Co2Ni CoNi2 Ni
400 0.004 0.369 0.433 0.153
420 0.014 0.587 0.668 0.318
440 0.038 0.761 0.829 0.525
460 0.089 0.869 0.916 0.709
480 0.185 0.929 0.958 0.835
500 0.331 0.961 0.979 0.908
520 0.505 0.978 0.989 0.949
540 0.666 0.987 0.994 0.971
560 0.789 0.992 0.996 0.983
580 0.87 0.995 0.998 0.989
600 0.92 0.997 0.999 0.993
620 0.951 0.998 0.999 0.996
640 0.969 0.999 0.999 0.997
660 0.98 0.999 1 0.998
680 0.987 0.999 1 0.999
700 0.991 0.999 1 0.999
720 0.994 1 1 0.999
740 0.996 1 1 1
760 0.997 1 1 1
780 0.998 1 1 1
800 0.998 1 1 1
820 0.999 1 1 1
840 0.999 1 1 1
860 0.999 1 1 1
880 0.999 1 1 1
