Temp	Co	Co2Ni	CoNi2	Ni
400	0.001	0.016	0.014	0.002
420	0.01	0.026	0.056	0.009
440	0.004	0.082	0.131	0.032
460	0.007	0.168	0.255	0.071
480	0.016	0.29	0.42	0.137
500	0.035	0.435	0.591	0.238
520	0.07	0.58	0.732	0.368
540	0.129	0.703	0.832	0.51
560	0.218	0.796	0.896	0.641
580	0.335	0.862	0.935	0.747
600	0.467	0.907	0.959	0.826
620	0.596	0.936	0.974	0.881
640	0.706	0.956	0.983	0.918
660	0.792	0.969	0.988	0.943
680	0.855	0.978	0.992	0.96
700	0.899	0.984	0.994	0.972
720	0.929	0.988	0.996	0.979
740	0.95	0.991	0.997	0.985
760	0.964	0.993	0.998	0.989
780	0.974	0.995	0.998	0.992
800	0.981	0.996	0.999	0.994
820	0.986	0.997	0.999	0.995
840	0.989	0.997	0.999	0.996
860	0.992	0.998	0.999	0.997
880	0.994	0.998	1	0.998
