Temp Co_H2 Co_NH3 Co2Ni_H2 Co2Ni_NH3 CoNi2_H2 CoNi2_NH3 Ni_H2 Ni_NH3
400 -0.229 -0.004 -0.984 0.001 -0.983 -0.006 -0.990 0.001
420 -0.104 -0.006 -0.960 0.001 -0.949 0.003 -0.985 0.001
440 -0.048 0.002 -0.895 0.009 -0.861 0.019 -0.970 0.001
460 -0.023 0.003 -0.762 0.041 -0.666 0.086 -0.939 0.036
480 -0.011 0.007 -0.546 0.132 -0.387 0.259 -0.880 0.080
500 -0.006 0.015 -0.310 0.301 -0.162 0.496 -0.765 0.168
520 -0.003 0.031 -0.142 0.498 -0.056 0.692 -0.463 0.272
540 -0.002 0.059 -0.058 0.663 -0.018 0.817 -0.222 0.434
560 -0.001 0.106 -0.022 0.779 -0.006 0.891 -0.090 0.599
580 -0.001 0.175 -0.009 0.855 -0.002 0.933 -0.034 0.728
600 0.000 0.268 -0.004 0.904 -0.001 0.958 -0.013 0.818
620 0.000 0.379 -0.002 0.935 0.000 0.973 -0.005 0.878
640 0.000 0.498 -0.001 0.955 0.000 0.982 -0.002 0.917
660 0.000 0.610 0.000 0.969 0.000 0.988 -0.001 0.943
680 0.000 0.706 0.000 0.978 0.000 0.992 0.000 0.960
700 0.000 0.783 0.000 0.984 0.000 0.994 0.000 0.972
720 0.000 0.841 0.000 0.988 0.000 0.996 0.000 0.979
740 0.000 0.884 0.000 0.991 0.000 0.997 0.000 0.985
760 0.000 0.915 0.000 0.993 0.000 0.998 0.000 0.989
780 0.000 0.937 0.000 0.995 0.000 0.998 0.000 0.992
800 0.000 0.953 0.000 0.996 0.000 0.999 0.000 0.994
820 0.000 0.965 0.000 0.997 0.000 0.999 0.000 0.995
840 0.000 0.974 0.000 0.997 0.000 0.999 0.000 0.996
860 0.000 0.980 0.000 0.998 0.000 0.999 0.000 0.997
880 0.000 0.984 0.000 0.998 0.000 1.000 0.000 0.998
