Temp Co_100Bar Co_1Bar Co2Ni_100Bar Co2Ni_1Bar CoNi2_100Bar CoNi2_1Bar Ni_100Bar Ni_1Bar
400 -0.167 0.001 -0.269 0.016 -0.089 0.014 -0.143 0.002
420 -0.042 0.01 -0.146 0.026 -0.032 0.056 -0.078 0.009
440 0.014 0.004 -0.078 0.082 -0.004 0.131 -0.004 0.032
460 0.003 0.007 -0.035 0.168 0.021 0.255 -0.002 0.071
480 0 0.016 0.002 0.29 0.059 0.42 0.014 0.137
500 0.001 0.035 0.044 0.435 0.119 0.591 0.029 0.238
520 0.004 0.07 0.098 0.58 0.209 0.732 0.055 0.368
540 0.006 0.129 0.171 0.703 0.326 0.832 0.094 0.51
560 0.012 0.218 0.262 0.796 0.458 0.896 0.152 0.641
580 0.021 0.335 0.367 0.862 0.587 0.935 0.229 0.747
600 0.035 0.467 0.476 0.907 0.698 0.959 0.323 0.826
620 0.058 0.596 0.579 0.936 0.785 0.974 0.426 0.881
640 0.09 0.706 0.671 0.956 0.848 0.983 0.53 0.918
660 0.135 0.792 0.746 0.969 0.893 0.988 0.625 0.943
680 0.193 0.855 0.806 0.978 0.924 0.992 0.708 0.96
700 0.265 0.899 0.852 0.984 0.946 0.994 0.775 0.972
720 0.346 0.929 0.887 0.988 0.961 0.996 0.828 0.979
740 0.432 0.95 0.913 0.991 0.972 0.997 0.868 0.985
760 0.518 0.964 0.933 0.993 0.979 0.998 0.899 0.989
780 0.599 0.974 0.947 0.995 0.984 0.998 0.922 0.992
800 0.672 0.981 0.959 0.996 0.988 0.999 0.939 0.994
820 0.734 0.986 0.972 0.997 0.991 0.999 0.953 0.995
840 0.786 0.989 0.979 0.997 0.993 0.999 0.963 0.996
860 0.829 0.992 0.984 0.998 0.994 0.999 0.97 0.997
880 0.863 0.994 0.988 0.998 0.996 1 0.976 0.998
